Alfonso Soriano,NYY,.221,.238
Jacoby Ellsbury,NYY,.271,.174
Yonder Alonso,SDP,.240,.442
Charlie Culberson,COL,.195,.275
Gordon Beckham,CHW,.226,.167
Howie Kendrick,LAA,.293,.386
Jordan Schafer,ATL,.238,.246
Joaquin Arias,SFG,.254,.302
Kurt Suzuki,MIN,.288,.200
Collin Cowgill,LAA,.250,.275
Ryan Zimmerman,WSN,.280,.325
Lucas Duda,NYM,.253,.185
A.J. Ellis,LAD,.191,.158
Carlos Santana,CLE,.231,.186
Chris Davis,BAL,.196,.405
Charlie Blackmon,COL,.288,.236
Jimmy Rollins,PHI,.243,.173
Daniel Murphy,NYM,.289,.313
Drew Stubbs,COL,.289,.354
Yoenis Cespedes,OAK,.260,.167
Yunel Escobar,TBR,.258,.375
Eric Young,NYM,.229,.296
Adeiny Hechavarria,MIA,.276,.319
Jason Kubel,MIN,.224,.196
Dee Gordon,LAD,.289,.271
Adam Rosales,TEX,.262,.191
Mike Aviles,CLE,.247,.311
Ryan Raburn,CLE,.200,.353
Danny Espinosa,WSN,.219,.226
Justin Smoak,SEA,.202,.292
Michael Bourn,CLE,.257,.214
Travis Snider,PIT,.264,.340
Eric Sogard,OAK,.223,.255
Ramon Santiago,CIN,.246,.196
Wil Myers,TBR,.222,.264
George Springer,HOU,.231,.250
Adrian Beltre,TEX,.324,.262
Brock Holt,BOS,.281,.259
Grady Sizemore,BOS,.233,.310
Gerardo Parra,ARI,.261,.292
Tommy Medica,SDP,.233,.324
Jeff Baker,MIA,.264,.279
Don Kelly,DET,.245,.316
David Ross,BOS,.184,.217
Brad Miller,SEA,.221,.410
Aaron Hill,ARI,.244,.340
Joe Mauer,MIN,.277,.271
Todd Frazier,CIN,.273,.265
Chris Heisey,CIN,.222,.310
Carlos Ruiz,PHI,.252,.267
Justin Morneau,COL,.319,.229
Skip Schumaker,CIN,.235,.441
